TestName,SchemaName,EncryptionAlgo,TestSize,DatabaseSize,Time
RunCreates,EncryptedWithEnclaves,Deterministic,100,359,3.9067945
RunCreates,Encrypted,Deterministic,100,359,3.8000538
RunCreates,NotEncrypted,Deterministic,100,359,4.0051514
RunFinds,EncryptedWithEnclaves,Deterministic,100,359,2.6907967
RunFinds,Encrypted,Deterministic,100,359,2.6983931
RunFinds,NotEncrypted,Deterministic,100,359,2.4863674
RunUpdates,EncryptedWithEnclaves,Deterministic,100,359,3.1081894
RunUpdates,Encrypted,Deterministic,100,359,3.0940863
RunUpdates,NotEncrypted,Deterministic,100,359,3.1139162
RunDeletes,EncryptedWithEnclaves,Deterministic,100,359,3.7275889
RunDeletes,Encrypted,Deterministic,100,359,4.8456165
RunDeletes,NotEncrypted,Deterministic,100,359,3.7090136
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,359,0.1742958
FindWhereDOB,Encrypted,Deterministic,0,359,0.1652361
FindWhereDOB,NotEncrypted,Deterministic,0,359,0.0590124
RunCreates,EncryptedWithEnclaves,Randomized,100,1425,4.1095441
RunCreates,Encrypted,Randomized,100,1425,4.0642377
RunCreates,NotEncrypted,Randomized,100,1425,3.8636195
RunFinds,EncryptedWithEnclaves,Randomized,100,1425,3.4193403
RunFinds,Encrypted,Randomized,100,1425,0.5742553
RunFinds,NotEncrypted,Randomized,100,1425,2.6557519
RunUpdates,EncryptedWithEnclaves,Randomized,100,1425,3.7723187
RunUpdates,Encrypted,Randomized,100,1425,4.9164551
RunUpdates,NotEncrypted,Randomized,100,1425,3.401318
RunDeletes,EncryptedWithEnclaves,Randomized,100,1425,5.6805534
RunDeletes,Encrypted,Randomized,100,1425,4.480427
RunDeletes,NotEncrypted,Randomized,100,1425,4.0576984
FindWhereDOB,EncryptedWithEnclaves,Randomized,0,1425,0.101646
FindWhereDOB,Encrypted,Randomized,0,1425,0.4490745
FindWhereDOB,NotEncrypted,Randomized,0,1425,0.153275
