TestName,SchemaName,EncryptionAlgo,TestSize,DatabaseSize,Time
RunCreates,EncryptedWithEnclaves,Deterministic,100,3268,3.678683
RunCreates,Encrypted,Deterministic,100,3268,3.6931748
RunCreates,NotEncrypted,Deterministic,100,3268,3.6069828
RunFinds,EncryptedWithEnclaves,Deterministic,100,3268,2.555543
RunFinds,Encrypted,Deterministic,100,3268,2.5089341
RunFinds,NotEncrypted,Deterministic,100,3268,2.4693481
RunUpdates,EncryptedWithEnclaves,Deterministic,100,3268,3.2134162
RunUpdates,Encrypted,Deterministic,100,3268,3.3085775
RunUpdates,NotEncrypted,Deterministic,100,3268,3.0512149
RunDeletes,EncryptedWithEnclaves,Deterministic,100,3268,4.2444742
RunDeletes,Encrypted,Deterministic,100,3268,4.2608575
RunDeletes,NotEncrypted,Deterministic,100,3268,4.2116102
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,3268,1.4220926
FindWhereDOB,Encrypted,Deterministic,0,3268,1.754532
FindWhereDOB,NotEncrypted,Deterministic,0,3268,0.0704885
RunCreates,EncryptedWithEnclaves,Deterministic,100,4468,3.634265
RunCreates,Encrypted,Deterministic,100,4468,3.6021815
RunCreates,NotEncrypted,Deterministic,100,4468,3.6261887
RunFinds,EncryptedWithEnclaves,Deterministic,100,4468,2.5117655
RunFinds,Encrypted,Deterministic,100,4468,2.5778401
RunFinds,NotEncrypted,Deterministic,100,4468,2.7497204
RunUpdates,EncryptedWithEnclaves,Deterministic,100,4468,3.1225307
RunUpdates,Encrypted,Deterministic,100,4468,3.1031191
RunUpdates,NotEncrypted,Deterministic,100,4468,3.1260609
RunDeletes,EncryptedWithEnclaves,Deterministic,100,4468,4.1694836
RunDeletes,Encrypted,Deterministic,100,4468,4.1094279
RunDeletes,NotEncrypted,Deterministic,100,4468,4.0925423
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,4468,3.207782
FindWhereDOB,Encrypted,Deterministic,0,4468,3.3661284
FindWhereDOB,NotEncrypted,Deterministic,0,4468,0.0395381
RunCreates,EncryptedWithEnclaves,Deterministic,100,10271,3.6874107
RunCreates,Encrypted,Deterministic,100,10271,3.6705204
RunCreates,NotEncrypted,Deterministic,100,10271,3.5782264
RunFinds,EncryptedWithEnclaves,Deterministic,100,10271,2.7257245
RunFinds,Encrypted,Deterministic,100,10271,2.6617227
RunFinds,NotEncrypted,Deterministic,100,10271,2.620978
RunUpdates,EncryptedWithEnclaves,Deterministic,100,10271,3.3022743
RunUpdates,Encrypted,Deterministic,100,10271,3.3050473
RunUpdates,NotEncrypted,Deterministic,100,10271,3.3273181
RunDeletes,EncryptedWithEnclaves,Deterministic,100,10271,4.5701398
RunDeletes,Encrypted,Deterministic,100,10271,4.4815566
RunDeletes,NotEncrypted,Deterministic,100,10271,4.4204776
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,10271,11.5576269
FindWhereDOB,Encrypted,Deterministic,0,10271,11.1483192
FindWhereDOB,NotEncrypted,Deterministic,0,10271,0.0416482
RunCreates,EncryptedWithEnclaves,Deterministic,100,14252,3.6076273
RunCreates,Encrypted,Deterministic,100,14252,3.8427346
RunCreates,NotEncrypted,Deterministic,100,14252,3.703487
RunFinds,EncryptedWithEnclaves,Deterministic,100,14252,2.8475921
RunFinds,Encrypted,Deterministic,100,14252,2.7942938
RunFinds,NotEncrypted,Deterministic,100,14252,2.7539899
RunUpdates,EncryptedWithEnclaves,Deterministic,100,14252,3.3461847
RunUpdates,Encrypted,Deterministic,100,14252,3.3723206
RunUpdates,NotEncrypted,Deterministic,100,14252,3.302076
RunDeletes,EncryptedWithEnclaves,Deterministic,100,14252,5.6092691
RunDeletes,Encrypted,Deterministic,100,14252,5.7790061
RunDeletes,NotEncrypted,Deterministic,100,14252,5.3731081
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,14252,31.0697523
FindWhereDOB,Encrypted,Deterministic,0,14252,28.3253526
FindWhereDOB,NotEncrypted,Deterministic,0,14252,0.0508853
RunCreates,EncryptedWithEnclaves,Deterministic,100,19854,4.1593219
RunCreates,Encrypted,Deterministic,100,19854,3.9134515
RunCreates,NotEncrypted,Deterministic,100,19854,3.8883093
RunFinds,EncryptedWithEnclaves,Deterministic,100,19854,3.4497048
RunFinds,Encrypted,Deterministic,100,19854,3.4043499
RunFinds,NotEncrypted,Deterministic,100,19854,3.2154413
RunUpdates,EncryptedWithEnclaves,Deterministic,100,19854,3.4741494
RunUpdates,Encrypted,Deterministic,100,19854,3.7020424
RunUpdates,NotEncrypted,Deterministic,100,19854,3.5227581
RunDeletes,EncryptedWithEnclaves,Deterministic,100,19854,7.8692321
RunDeletes,Encrypted,Deterministic,100,19854,7.9047164
RunDeletes,NotEncrypted,Deterministic,100,19854,7.2963958
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,19854,91.0088873
FindWhereDOB,Encrypted,Deterministic,0,19854,97.207718
FindWhereDOB,NotEncrypted,Deterministic,0,19854,0.0667718
RunCreates,EncryptedWithEnclaves,Deterministic,100,22339,3.8230327
RunCreates,Encrypted,Deterministic,100,22339,3.8733183
RunCreates,NotEncrypted,Deterministic,100,22339,3.5781202
RunFinds,EncryptedWithEnclaves,Deterministic,100,22339,3.0481938
RunFinds,Encrypted,Deterministic,100,22339,3.2479846
RunFinds,NotEncrypted,Deterministic,100,22339,3.8463034
RunUpdates,EncryptedWithEnclaves,Deterministic,100,22339,3.7627039
RunUpdates,Encrypted,Deterministic,100,22339,3.8648767
RunUpdates,NotEncrypted,Deterministic,100,22339,3.7269027
RunDeletes,EncryptedWithEnclaves,Deterministic,100,22339,8.7203223
RunDeletes,Encrypted,Deterministic,100,22339,8.9592803
RunDeletes,NotEncrypted,Deterministic,100,22339,8.2275458
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,22339,146.8167397
FindWhereDOB,Encrypted,Deterministic,0,22339,151.5279576
FindWhereDOB,NotEncrypted,Deterministic,0,22339,0.1267809
RunCreates,EncryptedWithEnclaves,Deterministic,100,26503,3.7880815
RunCreates,Encrypted,Deterministic,100,26503,3.796211
RunCreates,NotEncrypted,Deterministic,100,26503,3.810933
